date,forecast,lower,upper
2024-01-02,102.98,51.95,154.01
2024-01-03,109.81,58.66,160.96
2024-01-04,109.66,55.74,163.57
2024-01-05,108.8,58.4,159.19
2024-01-06,109.22,54.19,164.25
2024-01-07,110.3,49.1,171.49
2024-01-08,106.1,50.44,161.77
2024-01-09,110.63,52.1,169.15
2024-01-10,107.41,54.63,160.19
2024-01-11,108.19,54.41,161.98
2024-01-12,105.18,48.55,161.81
2024-01-13,110.75,52.75,168.74
2024-01-14,109.06,54.14,163.98
2024-01-15,108.18,52.5,163.86
2024-01-16,107.91,55.38,160.44
2024-01-17,108.92,54.63,163.2
2024-01-18,109.52,55.11,163.94
2024-01-19,106.54,52.74,160.34
2024-01-20,108.72,53.55,163.88
2024-01-21,106.56,51.88,161.24
2024-01-22,108.85,52.47,165.23
2024-01-23,107.4,49.13,165.66
2024-01-24,106.47,49.58,163.36
2024-01-25,106.55,50.09,163.02
2024-01-26,105.67,46.47,164.86
2024-01-27,108.12,49.08,167.16
2024-01-28,104.74,45.6,163.88
2024-01-29,110.28,53.15,167.41
2024-01-30,108.06,52.1,164.02
2024-01-31,107.11,54.15,160.07
