store_id,product_id,category,region,avg_daily_demand,std_demand,avg_lead_time,safety_stock,reorder_point,eoq,current_inventory,days_of_stock,status,suggested_order
S002,P0007,Toys,West,137.62,112.77,1.0,217.3,354.9,606.4,53,0.4,Critical,606.0
S002,P0009,Electronics,North,144.15,112.42,1.0,219.7,363.8,615.9,62,0.4,Critical,616.0
S005,P0007,Groceries,South,138.44,111.88,1.0,216.4,354.8,609.0,59,0.4,Critical,609.0
S004,P0015,Toys,North,137.71,108.2,1.0,211.0,348.7,610.6,56,0.4,Critical,611.0
S001,P0003,Toys,East,141.44,107.21,1.0,211.3,352.7,616.5,69,0.5,Critical,616.0
S004,P0019,Clothing,East,136.52,110.57,1.0,213.7,350.3,602.8,65,0.5,Critical,603.0
S004,P0012,Clothing,East,131.77,103.96,1.0,202.4,334.2,581.7,85,0.6,Critical,582.0
S001,P0016,Electronics,East,132.93,107.54,1.0,207.9,340.9,589.3,74,0.6,Critical,589.0
S004,P0018,Toys,North,128.62,103.72,1.0,200.7,329.4,586.5,83,0.6,Critical,586.0
S005,P0016,Furniture,East,139.29,111.58,1.0,216.3,355.6,612.5,96,0.7,Critical,612.0
S004,P0017,Electronics,North,135.6,107.63,1.0,209.2,344.8,600.7,100,0.7,Critical,601.0
S005,P0003,Furniture,South,144.55,111.93,1.0,219.1,363.7,620.9,98,0.7,Critical,621.0
S003,P0012,Clothing,North,137.52,111.91,1.0,216.0,353.6,608.1,108,0.8,Critical,608.0
S004,P0004,Furniture,South,131.07,107.12,1.0,206.6,337.6,581.8,105,0.8,Critical,582.0
S003,P0007,Electronics,North,138.8,110.79,1.0,215.0,353.8,598.0,108,0.8,Critical,598.0
S003,P0008,Furniture,North,133.88,109.76,1.0,211.5,345.3,600.0,103,0.8,Critical,600.0
S005,P0020,Groceries,East,138.67,111.14,1.0,215.5,354.1,605.2,117,0.8,Critical,605.0
S003,P0003,Groceries,North,126.62,102.91,1.0,198.7,325.3,577.5,112,0.9,Critical,577.0
S004,P0013,Electronics,West,131.39,104.84,1.0,203.5,334.9,594.4,113,0.9,Critical,594.0
S004,P0009,Clothing,East,134.6,112.51,1.0,215.6,350.2,596.0,115,0.9,Critical,596.0
S004,P0007,Electronics,South,130.38,105.84,1.0,204.5,334.8,593.4,134,1.0,Critical,593.0
S002,P0004,Toys,West,138.43,108.65,1.0,211.9,350.3,607.3,133,1.0,Critical,607.0
S003,P0011,Toys,West,138.7,108.62,1.0,212.0,350.7,598.9,137,1.0,Critical,599.0
S005,P0011,Groceries,North,136.56,107.51,1.0,209.5,346.0,591.3,156,1.1,Critical,591.0
S002,P0018,Groceries,East,140.19,111.49,1.0,216.6,356.8,613.4,151,1.1,Critical,613.0
S001,P0019,Clothing,West,134.73,109.55,1.0,211.5,346.3,597.4,149,1.1,Critical,597.0
S004,P0011,Groceries,East,139.74,106.62,1.0,209.7,349.4,601.7,155,1.1,Critical,602.0
S003,P0001,Clothing,West,129.44,106.36,1.0,204.8,334.2,580.5,138,1.1,Critical,581.0
S003,P0016,Furniture,East,141.78,111.65,1.0,217.5,359.3,622.1,166,1.2,Critical,622.0
S005,P0004,Toys,North,135.21,111.78,1.0,214.9,350.1,595.5,158,1.2,Critical,596.0
S002,P0011,Groceries,West,135.63,108.69,1.0,210.7,346.4,584.5,156,1.2,Critical,585.0
S002,P0006,Toys,East,133.27,105.04,1.0,204.6,337.9,599.3,160,1.2,Critical,599.0
S001,P0010,Furniture,West,132.36,105.92,1.0,205.4,337.8,584.2,167,1.3,Critical,584.0
S001,P0009,Electronics,South,131.44,107.09,1.0,206.7,338.1,588.5,167,1.3,Critical,589.0
S004,P0002,Furniture,West,130.45,103.44,1.0,201.1,331.6,581.7,181,1.4,Critical,582.0
S002,P0012,Electronics,North,140.26,111.78,1.0,217.0,357.3,622.2,193,1.4,Critical,622.0
S001,P0018,Electronics,East,138.82,109.1,1.0,212.7,351.5,605.5,191,1.4,Critical,605.0
S004,P0005,Toys,East,137.22,107.08,1.0,209.2,346.4,595.4,217,1.6,Low,595.0
S001,P0001,Toys,East,137.31,108.19,1.0,210.8,348.1,603.4,223,1.6,Low,603.0
S003,P0014,Electronics,West,143.9,113.02,1.0,220.4,364.3,613.6,230,1.6,Low,614.0
S002,P0008,Furniture,North,128.9,106.85,1.0,205.2,334.1,579.9,218,1.7,Low,580.0
S001,P0012,Electronics,East,128.39,102.24,1.0,198.6,327.0,589.0,213,1.7,Low,589.0
S001,P0002,Furniture,West,131.04,104.31,1.0,202.6,333.7,587.4,217,1.7,Low,587.0
S001,P0020,Electronics,South,138.36,111.25,1.0,215.5,353.8,603.1,242,1.7,Low,603.0
S003,P0017,Clothing,North,143.05,107.78,1.0,212.8,355.8,619.0,239,1.7,Low,619.0
S003,P0019,Electronics,West,142.99,111.2,1.0,217.4,360.4,616.3,253,1.8,Low,616.0
S002,P0017,Toys,East,132.31,106.46,1.0,206.2,338.5,602.1,236,1.8,Low,602.0
S004,P0020,Toys,West,135.84,106.72,1.0,208.1,343.9,604.1,249,1.8,Low,604.0
S002,P0016,Toys,North,138.25,108.41,1.0,211.5,349.7,602.9,258,1.9,Low,603.0
S001,P0007,Clothing,East,137.82,111.2,1.0,215.2,353.0,606.5,256,1.9,Low,606.0
S005,P0002,Groceries,North,134.32,105.81,1.0,206.1,340.5,599.4,253,1.9,Low,599.0
S002,P0020,Groceries,East,144.11,113.54,1.0,221.2,365.3,608.2,284,2.0,Low,608.0
S003,P0015,Clothing,East,138.33,108.01,1.0,211.0,349.3,610.1,270,2.0,Low,610.0
S005,P0018,Clothing,West,134.15,109.8,1.0,211.6,345.8,596.7,278,2.1,Low,597.0
S001,P0014,Groceries,South,136.62,110.67,1.0,213.9,350.5,599.4,293,2.1,Low,599.0
S001,P0017,Toys,East,136.45,108.97,1.0,211.5,347.9,599.0,282,2.1,Low,599.0
S004,P0016,Clothing,West,143.33,107.7,1.0,212.8,356.1,616.5,314,2.2,Low,617.0
S005,P0010,Toys,North,137.55,109.46,1.0,212.6,350.2,601.4,308,2.2,Low,601.0
S005,P0017,Toys,North,137.29,108.62,1.0,211.3,348.6,603.5,313,2.3,Low,603.0
S005,P0009,Furniture,North,136.19,107.78,1.0,209.7,345.9,599.3,319,2.3,Low,599.0
S005,P0001,Toys,North,131.05,106.91,1.0,206.2,337.3,599.7,300,2.3,Low,600.0
S001,P0008,Electronics,East,137.13,108.7,1.0,211.4,348.5,602.6,315,2.3,Low,603.0
